,followers_count,alternate_names,name,url,api_path,twitter_name
8968,4347,"['Richard Colson Baker', 'Colson Baker', 'MGK']",Machine Gun Kelly,https://genius.com/artists/Machine-gun-kelly,/artists/1665,machinegunkelly
6059,4260,"['Hair Weave Killer', 'Drench God', 'Tauheed Epps', 'Tity Boi']",2 Chainz,https://genius.com/artists/2-chainz,/artists/14325,2chainz
16141,4256,[],$UICIDEBOY$,https://genius.com/artists/Uicideboy,/artists/213444,suicideboys
14280,4110,"['Pac', 'MC New York', 'Makaveli', 'Tupac Shakur', 'Makaveli the Don', 'Lesane P. Crooks', '2Pac Shakur', 'Tupac Amaru Shakur', 'Lesane Parish Crooks', 'Tupac']",2Pac,https://genius.com/artists/2pac,/artists/59,2pac
5334,4004,"['Robert Rihmeek Williams', 'Robert R. Williams']",Meek Mill,https://genius.com/artists/Meek-mill,/artists/1319,meekmill
7388,3950,"['Beyoncé Knowles', 'Sasha Fierce', 'B.B. Homemaker', 'Beyoncé Knowles-Carter', 'Beyoncé Giselle Knowles', 'Queen Bey', 'Beyoncé Giselle Knowles-Carter', 'Beyoncé G. Knowles-Carter', 'Beyoncé G. Knowles', 'Beyoncé Gisselle Knowles-Carter', 'Beyoncé Gisselle Knowles']",Beyoncé,https://genius.com/artists/Beyonce,/artists/498,Beyonce
1927,3946,"['Harry Edward Styles', 'Harry E. Styles']",Harry Styles,https://genius.com/artists/Harry-styles,/artists/22457,harry_styles
16732,3919,"['George Kusunoki Miller', 'Joji Kusunoki', 'George Miller']",Joji,https://genius.com/artists/Joji,/artists/630470,sushitrash
6293,3893,['Justin Drew Bieber'],Justin Bieber,https://genius.com/artists/Justin-bieber,/artists/357,justinbieber
11591,3834,['The Paul Revere Jumpsuit Apparatus'],Panic! at the Disco,https://genius.com/artists/Panic-at-the-disco,/artists/50838,PanicAtTheDisco
5518,3781,"['Olubowale Victor Akintimehin', 'Olubowale Akintimehin']",Wale,https://genius.com/artists/Wale,/artists/396,Wale
16482,3773,"['Jhené Aiko Chilombo', 'Jhené Aiko Efuru Chilombo', 'Jhene', 'J Hennessy', 'J Henny']",Jhené Aiko,https://genius.com/artists/Jhene-aiko,/artists/1020,jheneaiko
11630,3727,"['Andre Romelle Young', 'Andre Young', 'Andre R. Young']",Dr. Dre,https://genius.com/artists/Dr-dre,/artists/123,drdre
1652,3710,[],Lin-Manuel Miranda,https://genius.com/artists/Lin-manuel-miranda,/artists/13426,Lin_Manuel
6690,3662,[],Migos,https://genius.com/artists/Migos,/artists/44080,Migos
9221,3621,"['Thebe Kgotsile', 'DJ Earl Fletcher', 'Sly Tendencies', 'Thebe Neruda Kgositsile']",Earl Sweatshirt,https://genius.com/artists/Earl-sweatshirt,/artists/686,earlxsweat
13431,3598,"['Fergivicious', 'Fergenstein', 'Darold Durard Brown Ferguson Jr.', 'Trap Lord', 'Darold Brown', 'Darold Durard Brown Ferguson', 'Darold Durard Brown', 'Asap Fergg', 'Darold Ferguson Jr.', 'Darold D. Brown Ferguson Jr.', 'Darold D. Brown Ferguson', 'Darold D. Brown']",A$AP Ferg,https://genius.com/artists/A-ap-ferg,/artists/15369,ASAPferg
12204,3543,"['Clifford J. Harris Jr.', 'Clifford Harris', 'Clifford Joseph Harris Jr.', 'Clifford Joseph Harris', 'Clifford Harris Jr', 'T.I.P.']",T.I.,https://genius.com/artists/Ti,/artists/85,Tip
10903,3468,"['Wasalu Jaco', 'Wasalu Muhammad Jaco', 'Lupe']",Lupe Fiasco,https://genius.com/artists/Lupe-fiasco,/artists/147,LupeFiasco
14910,3435,"['Tecca Nina', 'Aaron Dontez Yates', 'Tech Nine']",Tech N9ne,https://genius.com/artists/Tech-n9ne,/artists/506,TechN9ne
8226,3419,"['Breezy', 'Christopher M. Brown', 'C-Syzle', 'C Sizzle', 'Christopher Brown', 'Christopher Maurice Brown', 'Chris Breezy']",Chris Brown,https://genius.com/artists/Chris-brown,/artists/438,chrisbrown
6521,3407,"['LIL QUICKSCOPE', 'Sir Stokeley', 'Stokeley', 'Sir Ski Mask', 'Beeyonsay', 'Big Boy Ski', 'Stokeley Pokely', 'Sir Ski Slump', 'Stokeley C. Goulbourne', 'Stokeley Goulbourne', 'Lil Babywipe', 'Stokeley Clevon Goulbourne', 'The Slump God', 'Ski Mask']",Ski Mask the Slump God,https://genius.com/artists/Ski-mask-the-slump-god,/artists/396531,THESLUMPGOD
5681,3405,"['Young Gerald', 'Gerald Earl Gillum', 'Gerald Gillum']",G-Eazy,https://genius.com/artists/G-eazy,/artists/11395,g_eazy
9301,3326,"['Jordan Carter', 'Sir Cartier', 'Carti', 'Jordan Terrell Carter', 'Cash Carti']",Playboi Carti,https://genius.com/artists/Playboi-carti,/artists/289976,playboicarti
14555,3114,"['Pharrell', 'Skateboard P', 'Pharrell Lanscilo Williams', 'Pharrell L. Williams']",Pharrell Williams,https://genius.com/artists/Pharrell-williams,/artists/110,Pharrell
13814,3044,"['M. Hopson', 'Marcus Jamal Hopson', 'Marcus Hopson']",Hopsin,https://genius.com/artists/Hopsin,/artists/1308,Hopsin
14580,3023,[],Genius,https://genius.com/artists/Genius,/artists/204611,genius
16459,3000,['Frosty and the Nightmare Making Machine'],Fall Out Boy,https://genius.com/artists/Fall-out-boy,/artists/7811,falloutboy
13037,2997,"['Common Sense', 'Lonnie Lynn Jr.', 'Lonnie Corant Jaman Shuka Rashid Lynn', 'Lonnie Rashid Lynn Jr.', 'Lonnie Corant Jaman Shuka Rashid Lynn Jr.']",Common,https://genius.com/artists/Common,/artists/223,common
7937,2981,"['Nate Feuerstein', 'Nathan Feuerstein']",NF,https://genius.com/artists/Nf,/artists/214301,nfrealmusic
6114,2933,"['Danny Brown The Hybrid', 'Daniel Sewell', 'Daniel D. Sewell', 'Daniel Dewan Sewell']",Danny Brown,https://genius.com/artists/Danny-brown,/artists/1422,XDannyXBrownX
6182,2890,['Selena Marie Gomez'],Selena Gomez,https://genius.com/artists/Selena-gomez,/artists/45372,selenagomez
11478,2873,"['Ashley Frangipane', 'Ashley N. Frangipane', 'Ashley Nicolette Frangipane']",Halsey,https://genius.com/artists/Halsey,/artists/228636,halsey
17754,2800,"['Chief So', 'Sosa Otto', 'Chief Sosa', 'Keith Cozart', 'Keith F. Cozart', 'Keith Farrelle Cozart', 'Almighty So']",Chief Keef,https://genius.com/artists/Chief-keef,/artists/16808,chiefkeef
3715,2797,['Death Ramps'],Arctic Monkeys,https://genius.com/artists/Arctic-monkeys,/artists/12297,ArcticMonkeys
14861,2761,"['Melanie A. Martinez', 'Melanie Adele Martinez']",Melanie Martinez,https://genius.com/artists/Melanie-martinez,/artists/153995,MelanieLBBH
16815,2738,['She’yaa Bin Abraham-Joseph'],21 Savage,https://genius.com/artists/21-savage,/artists/430404,21savage
12329,2715,"['TR666', 'Trippie Hippie', 'M. L. White IV', 'Michael L. White IV', 'Michael Lamar White', 'Michael White IV', 'Big 14', 'Michael Lamar White IV', 'Lil 14']",Trippie Redd,https://genius.com/artists/Trippie-redd,/artists/1086436,trippieredd
10571,2704,"['Mother Monster', 'Stefani Germanotta Band', 'Stefani Germanotta', 'Stefani Joanne Angelina Germanotta', 'Gaga']",Lady Gaga,https://genius.com/artists/Lady-gaga,/artists/447,ladygaga
12815,2690,"['Chuck Taylor', 'Hurricane Game', 'Jayceon Terrell Taylor', 'Jayceon Taylor']",The Game,https://genius.com/artists/The-game,/artists/42,thegame
13514,2683,"[""Ella Yelich-O'Connor"", ""Ella Marija Lani Yelich-O'Connor""]",Lorde,https://genius.com/artists/Lorde,/artists/36944,lorde
1224,2681,"['King Spider', 'Jeffery Williams', 'Jeffery L. Williams', 'Jeffery', 'King Slime', 'Thugger', 'SEX', 'Jeffery Lamar Williams']",Young Thug,https://genius.com/artists/Young-thug,/artists/20503,youngthug
12974,2657,[],The 1975,https://genius.com/artists/The-1975,/artists/45824,the1975
6395,2653,"['William L. Roberts II', 'William Leonard Roberts II', 'William Roberts II', 'Ricky Rozay']",Rick Ross,https://genius.com/artists/Rick-ross,/artists/88,RickRoss
18016,2611,"['Solána Rowe', 'Solána Imani Rowe']",SZA,https://genius.com/artists/Sza,/artists/41579,sza
14227,2560,"['Belcalis Almánzar', 'Belcalis Marlenis Almánzar', 'Bacardi', 'Bardi']",Cardi B,https://genius.com/artists/Cardi-b,/artists/621678,iamcardib
8071,2465,"['Jung Kook of BTS', 'Jung Kook (BTS)', 'Jeon Jungkook (전정국)', 'Golden Maknae', 'JK (BTS)']",Jung Kook (정국),https://genius.com/artists/Jung-kook,/artists/1016907,
14632,2419,[],BROCKHAMPTON,https://genius.com/artists/Brockhampton,/artists/323651,brckhmptn
15888,2407,"['Young Krizzle', 'Kritikal Productions', 'Big Krizzle', 'Justin Lewis Scott']",Big K.R.I.T.,https://genius.com/artists/Big-krit,/artists/491,BIGKRIT
5608,2370,"['Zel Kurosawa', 'Zeltron', 'Black Metal Terrorist', 'Denny Cascade', 'Aquarius Killa', 'Denzel Rae Don Curry', 'ZXLTRXN', 'Raven Miyagi', 'Zeltron 6 Billion']",Denzel Curry,https://genius.com/artists/Denzel-curry,/artists/16690,denzelcurry
1754,2358,"['V (BTS)', 'Kim Taehyung (김태형)', 'Tae (BTS)', 'Taehyung (BTS)']",V (뷔),https://genius.com/artists/V,/artists/520161,
570,2347,"['Keenon Daequan Ray Jackson', 'Keenon D. R. Jackson', 'Keenon DaQuan Ray Jackson', 'Keenon Jackson']",YG,https://genius.com/artists/Yg,/artists/1450,YG
11772,2255,"['Radric Davis', 'Radric D. Davis', 'Radric Delantic Davis']",Gucci Mane,https://genius.com/artists/Gucci-mane,/artists/13,gucci1017
9884,2240,"['Shawn P. R. Mendes', 'Shawn Peter Raul Mendes']",Shawn Mendes,https://genius.com/artists/Shawn-mendes,/artists/195029,ShawnMendes
4123,2214,"['Ryan Daniel Montgomery', 'Nickel Nine', 'Royce 5’9”']","Royce da 5'9""",https://genius.com/artists/Royce-da-59,/artists/471,Royceda59
17015,2189,[],Why Don’t We,https://genius.com/artists/Why-dont-we,/artists/1028873,whydontwemusic
6330,2179,"['The Black Frank White', 'Christopher George Latore Wallace', 'Christopher Wallace', 'Big', 'Biggie Smalls', 'Biggie']",The Notorious B.I.G.,https://genius.com/artists/The-notorious-big,/artists/22,
6745,2164,[],Imagine Dragons,https://genius.com/artists/Imagine-dragons,/artists/29472,Imaginedragons
9005,2158,[],BLACKPINK,https://genius.com/artists/Blackpink,/artists/987404,BLACKPINK
11052,2153,['Gorillaz Partnership'],Gorillaz,https://genius.com/artists/Gorillaz,/artists/860,gorillazband
2193,2143,[],Fabolous,https://genius.com/artists/Fabolous,/artists/3,myfabolouslife
8582,2143,"['Kim Namjoon (김남준)', 'RM (BTS)', 'RM of BTS', 'Namjoon', 'Rap Monster']",RM,https://genius.com/artists/Rm,/artists/70110,bts_twt
9480,2142,['Karim Kharbouch'],French Montana,https://genius.com/artists/French-montana,/artists/1583,FrencHMonTanA
14242,2102,"['5SOS', 'Five Seconds Of Summer']",5 Seconds of Summer,https://genius.com/artists/5-seconds-of-summer,/artists/64610,5SOS
12168,2086,['MCR'],My Chemical Romance,https://genius.com/artists/My-chemical-romance,/artists/18261,MCRofficial
10484,2083,"['Daniel Dumile', 'Daniel T. Dumile', 'Daniel Thompson Dumile', 'Zev Love X', 'Doom', 'Supervillain']",MF DOOM,https://genius.com/artists/Mf-doom,/artists/70,MFDOOM
13068,2082,"[""O'Shea Jackson Sr."", ""O'Shea Jackson""]",Ice Cube,https://genius.com/artists/Ice-cube,/artists/186,icecube
16008,2063,"['Hybrid Theory', 'Xero', 'MMM...COOKIES']",Linkin Park,https://genius.com/artists/Linkin-park,/artists/1581,linkinpark
1957,2046,"['Troye S. Mellet', 'Troye Sivan Mellet']",Troye Sivan,https://genius.com/artists/Troye-sivan,/artists/161507,troyesivan
14531,2045,"['The Flushing Grizzly', 'Ariyan Arslani', 'Mr. Baklava', 'Bronsoliño']",Action Bronson,https://genius.com/artists/Action-bronson,/artists/12404,ActionBronson
2095,2028,"['Karla Cabello', 'Karla Camila Cabello Estrabao']",Camila Cabello,https://genius.com/artists/Camila-cabello,/artists/609667,Camila_Cabello
3878,2024,"['Bobby Digital', 'Prince Rakeem', 'The\xa0Abbot', 'Zig-Zag-Zig Allah', 'The RZArector', 'MC Dynamite', 'Bobby Dynamite', 'The RZArectah', 'Robert Diggs Jr.', 'Robert F. Diggs Jr.', 'Robert Fitzgerald Diggs Jr.', 'Rakeem Diggs', 'Robert F. Diggs', 'Robert Fitzgerald Diggs', 'Robert Diggs']",RZA,https://genius.com/artists/Rza,/artists/307,RZA
8340,1988,"[""Elmo O'Connor"", ""Elmo Kennedy O'Connor"", 'Th@ Kid']",BONES,https://genius.com/artists/Bones,/artists/38842,TeamSESH
8030,1987,"['K. Gaulden', 'Lil Top', 'Kentrell DeSean Gaulden', 'YoungBoy NBA', 'YoungBoy', 'Kentrell Gaulden', 'NBA YoungBoy']",YoungBoy Never Broke Again,https://genius.com/artists/Youngboy-never-broke-again,/artists/656173,
7160,1986,"['Pen Griffey', 'Gawdtilla', 'Young Tiller', 'Bryson D. Tiller', 'Bryson Djuan Tiller', 'Bryson Dujuan Tiller']",Bryson Tiller,https://genius.com/artists/Bryson-tiller,/artists/264368,brysontiller
6310,1974,"['Pete Hernandez', 'Peter Hernandez', 'Peter G. Hernandez', 'Peter Gene Hernandez']",Bruno Mars,https://genius.com/artists/Bruno-mars,/artists/500,BrunoMars
1138,1963,"['Louis T. Austin', 'Louis Troy Austin', 'Louis W. Tomlinson', 'Louis William Tomlinson']",Louis Tomlinson,https://genius.com/artists/Louis-tomlinson,/artists/576610,Louis_Tomlinson
11835,1945,"['Durk Derrick Banks', 'Durk Banks', 'Durkio', 'Durk']",Lil Durk,https://genius.com/artists/Lil-durk,/artists/21964,lildurk
4318,1935,['Brian Todd Collins'],Kid Ink,https://genius.com/artists/Kid-ink,/artists/1631,Kid_Ink
10023,1933,['Vincent Staples'],Vince Staples,https://genius.com/artists/Vince-staples,/artists/941,vincestaples
9030,1928,[],Radiohead,https://genius.com/artists/Radiohead,/artists/604,radiohead
17687,1918,"['Corey T. Woods', 'Corey Todd Woods', 'Lex Diamonds', 'Shallah Raekwon', 'Raekwon the Chef']",Raekwon,https://genius.com/artists/Raekwon,/artists/76,Raekwon
12769,1915,"['Eastside Johnny', 'Johnny McKinzie', 'Johnny McKinzie Jr.', 'Johnny R. McKinzie', 'Johnny R. McKinzie Jr.', 'Johnny Reed McKinzie', 'Johnny Reed McKinzie Jr.']",Jay Rock,https://genius.com/artists/Jay-rock,/artists/1403,jayrock
10448,1908,"['Talib Greene', 'Talib K. Greene', 'Talib Kweli Greene']",Talib Kweli,https://genius.com/artists/Talib-kweli,/artists/388,TalibKweli
766,1903,"[""Sgt. Pepper's Lonely Hearts Club Band""]",The Beatles,https://genius.com/artists/The-beatles,/artists/586,thebeatles
11702,1898,"['Zayn Javadd Malik', 'Zain Malik', 'Zayn J. Malik', 'Zain Javadd ""Zayn"" Malik', 'Zain Javadd Malik', 'Zayn Malik']",ZAYN,https://genius.com/artists/Zayn,/artists/339472,zaynmalik
16954,1897,"['Michael Atha', 'Catfish Billy', 'M.W.A', 'Michael Wayne Atha']",Yelawolf,https://genius.com/artists/Yelawolf,/artists/182,yelawolf
10095,1882,"['Justin Randall', 'Justin R. Timberlake', 'Justin Randall Timberlake']",Justin Timberlake,https://genius.com/artists/Justin-timberlake,/artists/334,jtimberlake
9395,1869,"['Ami Zandile', 'Amala Zandile Dlamini', 'Amalaratna Zandile Dlamini', 'Amalaratna Dlamini', 'Amala Dlamini']",Doja Cat,https://genius.com/artists/Doja-cat,/artists/139478,DojaCat
4209,1833,"['Jetskii Pump', 'Gazzy Garcia', 'Trapper of the Century', 'Lil Pump Jetskii', 'Youngest Flexer', 'Jetskii', 'Yung C']",Lil Pump,https://genius.com/artists/Lil-pump,/artists/654932,lilpump
11745,1828,"['Adele Laurie Blue Adkins', 'Adele Adkins']",Adele,https://genius.com/artists/Adele,/artists/2300,Adele
17297,1827,['Wu-Tang'],Wu-Tang Clan,https://genius.com/artists/Wu-tang-clan,/artists/21,WuTangClan
17393,1801,['Starfish'],Coldplay,https://genius.com/artists/Coldplay,/artists/8351,coldplay
18796,1793,"['Trevor George Smith', 'Trevor G. Smith Jr.', 'Trevor G. Smith', 'Trevor Smith', 'Trevor George Smith Jr.', 'Trevor Smith Jr.']",Busta Rhymes,https://genius.com/artists/Busta-rhymes,/artists/338,BustaRhymes
12803,1793,[],Dua Lipa,https://genius.com/artists/Dua-lipa,/artists/555561,DUALIPA
18094,1783,"['Leland Tyler Wayne', 'Lil Metro', 'Young Metro', 'Leland Wayne']",Metro Boomin,https://genius.com/artists/Metro-boomin,/artists/33010,metroboomin
14501,1775,[],Flatbush Zombies,https://genius.com/artists/Flatbush-zombies,/artists/16377,FlatbushZombies
4933,1766,"['Michael Ray Nguyen-Stevenson', 'Michael Stevenson', 'Marshall Stevenson', 'King Gold Chains', 'Tygaman', 'Micheal Ray Stevenson', 'T-Raww']",Tyga,https://genius.com/artists/Tyga,/artists/554,Tyga
10425,1762,[],Nirvana,https://genius.com/artists/Nirvana,/artists/12712,Nirvana
16273,1754,"['Gary Grice', 'Gary E. Grice', 'GZA the Genius']",GZA,https://genius.com/artists/Gza,/artists/507,TheRealGZA
2815,1753,"['Niall J. Horan', 'Niall James Horan']",Niall Horan,https://genius.com/artists/Niall-horan,/artists/651111,NiallOfficial
